id,open_price,high_price,low_price,close_price,volume,stock_id,observation_date
339,126.52,126.95,124.51,125.21,43653,2,2018-10-17 00:00:00
340,126.21,126.24,124.95,126,24465,2,2018-10-16 00:00:00
341,125.91,126.65,124.75,125.62,33973,2,2018-10-15 00:00:00
342,124.08,126.91,123.75,125.92,50715,2,2018-10-12 00:00:00
343,121.2,123.8,120.5,122.7,128360,2,2018-10-11 00:00:00
344,126.64,127,121.89,122,73919,2,2018-10-10 00:00:00
345,130.06,130.06,126.03,126.89,41029,2,2018-10-09 00:00:00
346,126.41,130.38,126.41,130.04,54353,2,2018-10-05 00:00:00
347,125.67,126.09,124.85,125.97,36668,2,2018-10-04 00:00:00
348,126.45,127.02,125.06,125.79,36824,2,2018-10-03 00:00:00
349,125.58,127.14,125.5,126.44,36302,2,2018-10-02 00:00:00
350,126.44,126.74,124.15,125.36,81182,2,2018-10-01 00:00:00
351,126.9,127.25,125.58,125.98,44866,2,2018-09-28 00:00:00
352,127.99,127.99,126.96,127.11,29223,2,2018-09-27 00:00:00
353,128.8,128.8,127.58,127.88,26166,2,2018-09-26 00:00:00
354,128.83,129.11,127.5,128.85,55944,2,2018-09-25 00:00:00
355,129,129.885,128.48,128.94,94039,2,2018-09-24 00:00:00
356,128.14,132.22,127.57,129.54,484922,2,2018-09-21 00:00:00
357,128.94,128.95,127.75,128.2,56439,2,2018-09-20 00:00:00
358,128.92,130.15,127.9,128.41,86326,2,2018-09-19 00:00:00
359,129.03,129.65,128.25,128.88,59984,2,2018-09-18 00:00:00
360,128.01,129.67,127.51,128.63,47026,2,2018-09-17 00:00:00
361,127.12,128,126.75,127.96,44154,2,2018-09-14 00:00:00
362,128.91,128.91,127.16,127.28,37010,2,2018-09-13 00:00:00
363,131.98,133,126.58,128.6,76345,2,2018-09-12 00:00:00
364,129.25,131.99,128.75,131.98,56505,2,2018-09-11 00:00:00
365,129.45,130.5,128.5,129.24,74199,2,2018-09-10 00:00:00
366,129.25,131.8,128.88,129.45,62582,2,2018-09-07 00:00:00
367,129.77,130.4,127.89,129.58,47918,2,2018-09-06 00:00:00
368,129.2,131.2,129.17,129.78,58194,2,2018-09-05 00:00:00
369,129.91,130.72,127.59,129.28,46539,2,2018-09-04 00:00:00
370,129.99,130.45,128.89,130.1,28321,2,2018-08-31 00:00:00
371,128.76,130.67,128.41,130.2,44663,2,2018-08-30 00:00:00
372,128.56,130.72,128.24,128.6,60926,2,2018-08-29 00:00:00
373,129.56,130.98,128.15,128.78,49803,2,2018-08-28 00:00:00
374,125.17,129.99,125.17,129.52,80615,2,2018-08-27 00:00:00
375,124.2,125.76,124,124.75,46841,2,2018-08-24 00:00:00
376,124.03,124.74,123.68,124.07,22453,2,2018-08-23 00:00:00
377,124.25,125,123.79,123.96,32920,2,2018-08-22 00:00:00
378,123.74,124.86,123.74,124.64,28339,2,2018-08-21 00:00:00
379,123.86,125.52,123.65,123.75,20671,2,2018-08-20 00:00:00
380,125.68,126.23,123.4,123.76,37170,2,2018-08-17 00:00:00
381,125.07,126.58,125.07,125.96,47375,2,2018-08-16 00:00:00
382,124.1,125.48,123.93,125.18,44837,2,2018-08-15 00:00:00
383,124.72,126.41,124.54,124.54,58563,2,2018-08-14 00:00:00
384,117.88,125.58,117.87,124.19,97569,2,2018-08-13 00:00:00
385,117.23,117.94,113.89,116.98,86655,2,2018-08-10 00:00:00
386,119.1,120.53,119.02,120.15,26839,2,2018-08-09 00:00:00
387,118.01,120.21,117.75,119.06,29414,2,2018-08-08 00:00:00
388,120.14,120.14,117.46,118.01,20537,2,2018-08-07 00:00:00
389,120.65,120.89,119.82,120,18298,2,2018-08-03 00:00:00
390,118.78,121.04,118.77,120.65,35873,2,2018-08-02 00:00:00
391,118,121.58,117.6,119,51110,2,2018-08-01 00:00:00
392,117.68,118.5,117.25,117.82,20695,2,2018-07-31 00:00:00
393,118.99,119.41,116.86,117.66,26088,2,2018-07-30 00:00:00
394,119.33,119.68,118.21,118.83,30073,2,2018-07-27 00:00:00
395,119.86,120.41,118.91,119.16,31995,2,2018-07-26 00:00:00
396,120.16,121.15,119.25,119.87,31878,2,2018-07-25 00:00:00
397,120.5,120.89,119.26,119.84,41580,2,2018-07-24 00:00:00
398,122.22,122.22,120.06,120.3,32939,2,2018-07-23 00:00:00
399,122.59,123.35,122.22,122.22,22756,2,2018-07-20 00:00:00
400,122.15,122.85,122.15,122.5,81450,2,2018-07-19 00:00:00
